# Language,English,German,French,Spanish,Turkish,Russian,Polish,Danish,Dutch,Japanese,Italian,Czech
:key,en_GB,de_DE,fr_FR,es_ES,tr_TR,ru_RU,pl_PL,da_DK,nl_NL,ja_JP,it_IT,cs_CZ
0047,Degrees,Grad,Degrees,Grados,Dereceler,Степени,Stopni,Grader,Degrees,度,Gradi,Stupně
0048,Degree,Grad,Degré,Grado,Derece,Степень,Stopień,Degree,Graad,度,Laurea,Stupeň
0049,Receiver Voltage,Empfängerspannung,Récepteur Tension,Receptor Voltaje,Alıcı Gerilim,Приемник Напряжение,Odbiornik Napięcie,Modtager Spænding,Receiver Voltage,レシーバ電圧,Ricevitore Tensione,Přijímač Napětí
0050,Temperature,Temperatur,Température,Temperatura,Sıcaklık,Температура,Temperatura,Temperatur,Temperatuur,温度,Temperatura,Teplota
0051,Amps,Amper,Amps,Amps,Amper,Усилители,Wzmacniacze,Ampere,Amps,アンプ,Amps,Zesilovače
0052,Amp,Amper,Amp,Amperio,Amper,Ампер,Amp,Amp,Amp,アンプ,Amp,Amp
0053,Seconds,Sekunden,Secondes,Segundos,Saniye,Секунд,Sekundy,Sekunder,Seconden,秒,Secondi,Sekundy
0054,Second,Sekunde,Deuxième,Segundo,Ikinci,Второй,Drugi,Andet,Tweede,2番目,Secondo,Druhý
0055,DB,DB,DB,DB,DB,База данных,DB,DB,DB,DB,DB,DB
0056,Meters,Meter,Mètres,Metros,Metre,Метры,Metrów,Målere,Meters,メーター,Metri,Měřiče
0057,Meter,Meter,Mètre,Metro,Metre,Метр,Metr,Meter,Meter,メーター,Metro,Metr
0058,No Telemetry,Keine Telemetrie,Pas de télémétrie,No Telemetría,Hiçbir Telemetri,Нет телеметрии,Nie Telemetria,Ingen Telemetri,Geen Telemetrie,いいえテレメトリありません,No Telemetria,No Telemetrie
0059,Receiver Voltage Low,Empfängerspannung niedrig,Récepteur basse tension,Receptor de Baja Tensión,Alıcı Gerilim Düşük,Приемник Низкое напряжение,Odbiornik Low Voltage,Modtager Voltage Low,Receiver Low Voltage,受信機電圧低,Ricevitore bassa tensione,Přijímač Napětí Low
0060,Temperature Warning,Temperaturwarnung,Avertissement de température,Temperatura Advertencia,Sıcaklık Uyarısı,Температура Предупреждение,Ostrzeżenie temperatury,Temperatur Advarsel,Temperatuur Waarschuwing,温度警告,Temperatura Warning,Teplota Varování
0061,Altitude Warning,Höhenwarning,Altitude Avertissement,Altitud Advertencia,Rakım Uyarı,Высота над уровнем моря Предупреждение,Wysokość Ostrzeżenie,Altitude Warning,Altitude Warning,標高警告,Altitude Warning,Altitude Warning
0062,Watt,Watt,Watt,Vatio,Vat,Ватт,Wat,Watt,Watt,ワット,Watt,Watt
0063,Watts,Watt,Watts,Watts,Watts,Вт,Watts,Watt,Watts,ワッツ,Watts,Watts
0064,Knot,Knoten,Nœud,Nudo,Düğüm,Узел,Węzeł,Knot,Knoop,結び目,Nodo,Uzel
0065,Knots,Knoten,Knots,Nudos,Knot,Узлы,Węzły,Knuder,Knopen,ノット,Nodi,Uzly
0066,Milliamp,Milliamper,Milliamp,Miliamperios,Miliamper,Миллиампер,Prądowego,Milliampere,Milliamp,ミリアン​​ペア,Milliamp,Milliamp
0067,Milliamps,Milliamper,Milliamps,Miliamperios,Miliamper,Миллиампер,MA,Milliampere,Milliampère,ミリアン​​ペア,Milliampere,MA
0068,Milliamp/Hour,Milliamper pro Stunde,Milliampères / heure,Miliamperios / hora,Miliamper / saat,Миллиампер / час,Prądowego / godzina,Milliampere / Hour,MA / Hour,ミリアン​​ペア/時間,Milliampere / ora,Milliamp / hod
0069,Milliamps/Hour,Milliamper pro Stunde,Milliampères / heure,Miliamperios / hora,Miliamper / saat,Миллиампер / час,MA / dobę,Milliampere / Hour,Milliampère / Hour,ミリアン​​ペア/時間,Milliampere / ora,MA / hod
0070,RSSI Alert/RF signal low,Funksignal schwach,Alerte RSSI / signal de faible RF,RSSI Alerta / señal de RF de baja,RSSI Uyarısı / düşük RF sinyali,ПУПС оповещения / ВЧ сигнал низкого,RSSI Alert / niski sygnał RF,RSSI Alert / RF-signal lav,RSSI Alert / RF-signaal laag,低RSSIアラート/ RF信号,RSSI Alert / segnale RF a basso,RSSI Alert / RF signálu nízká
0071,RF Signal Critical,Funksignal kritisch,RF Signal critique,RF de señal crítico,RF Sinyal Kritik,РФ сигнала Критическая,Krytyczne sygnału RF,RF Signal Kritisk,RF Signaal Kritische,RF信号クリティカル,RF Signal Critical,RF signál Kritický
0072,Receiver signal lost,Funksignal verloren,Signal de réception perdu,Señal del receptor pierde,Alıcı sinyali kaybolduğunda,Потеряли приемник сигнала,Stracił sygnał zwrotny,Modtager signal tabt,Ontvanger signaal verloren,受信機の信号が失われました,Segnale di ricezione perso,Přijímač Signal Lost
0073,Batt Capacity Warning,Batteriekapazitätswarnung,Batt Capacité Avertissement,Batt capacidad de alerta,Batt Kapasite Uyarısı,Батт Емкость Внимание,Batt Pojemność Ostrzeżenie,Batt Kapacitet Advarsel,Batt Capacity Warning,バット容量警告,Batt Capacità Warning,Batt Kapacita Upozornění
0074,,,,,,,,,,,,
0075,,,,,,,,,,,,
0076,,,,,,,,,,,,
0077,,,,,,,,,,,,
0078,,,,,,,,,,,,
0079,,,,,,,,,,,,
0080,,,,,,,,,,,,
0081,,,,,,,,,,,,
0082,,,,,,,,,,,,
0083,,,,,,,,,,,,
0084,,,,,,,,,,,,
0085,,,,,,,,,,,,
0086,,,,,,,,,,,,
0087,,,,,,,,,,,,
0088,,,,,,,,,,,,
0089,,,,,,,,,,,,
0090,,,,,,,,,,,,
0091,,,,,,,,,,,,
0092,,,,,,,,,,,,
0093,,,,,,,,,,,,
0094,,,,,,,,,,,,
0095,,,,,,,,,,,,
0096,,,,,,,,,,,,
0097,,,,,,,,,,,,
0098,,,,,,,,,,,,
0099,,,,,,,,,,,,
,,,,,,,,,,,,
0100,Hundred,Hundert,Cent,Cien,Yüz,Сто,Sto,Hundred,Honderdtal,百,Cento,Sto
,,,,,,,,,,,,
0101,One Hundred,Einhundert,Cent,Cien,Yüz,Сто,Sto,One Hundred,Honderd,ワンハンドレッド,Cento,Sto
0102,Two Hundred,Zweihundert,Deux Cent,Doscientos,Iki yüz,Двести,Dwieście,To Hundred,Tweehonderd,二百,Duecento,Dvě Stě
0103,Three Hundred,Dreihundert,Trois Cents,Trescientos,Üç Yüz,Триста,Trzysta,Tre Hundred,Driehonderd,三百,Trecento,Tři Sta
0104,Four Hundred,Vierhundert,Quatre Cents,Cuatrocientos,Dört Yüz,Четыре Сотни,Czterysta,Fire hundrede,Vierhonderd,四百,Quattrocento,Čtyři Sta
0105,Five Hundred,Fünfhundert,Cinq-Cents,Quinientos,Beş Yüz,Пятьсот,Pięćset,Five Hundred,Vijfhonderd,ファイブハンドレッド,Cinquecento,Pět Set
0106,Six Hundred,Sechshundert,Six Cents,Seiscientos,Altı Yüz,Шестьсот,Sześćset,Seks Hundred,Zeshonderd,六百,Seicento,Šest Set
0107,Seven Hundred,Siebenhundert,Sept Cent,Setecientos,Yediyüz,Семьсот,Siedemset,Seven Hundred,Zevenhonderd,セブンハンドレッド,Settecento,Sedm Set
0108,Eight Hundred,Achthundert,Huit Cent,Ochocientos,Sekiz Yüz,Восемьсот,Osiemset,Otte Hundred,Achthonderd,八百,Ottocento,Osm Set
0109,Nine Hundred,Neunhundert,Neuf Cent,Novecientos,Dokuz Yüz,Девятьсот,Dziewięćset,Nine Hundred,Negen Honderd,九百,Novecento,Devět Set
,,,,,,,,,,,,
0110,Thousand,Tausend,Mille,Mil,Bin,Тысяча,Tysiąc,Thousand,Duizend,1000,Migliaia,Tisíc
,,,,,,,,,,,,
0111,One Thousand,Eintausend,Mille,Mil,Bin,Тысяча,Tysiąc,Et Thousand,Duizend,1000,Mille,Tisíc
0112,Two Thousand,Zweitausend,Deux Mille,Dos Mil,İki Bin,Две Тысячи,Dwa Tysiące,To Thousand,Tweeduizend,二千,Duemila,Dva Tisíce
0113,Three Thousand,Dreitausend,Trois Mille,Tres Mil,Üç Bin,Три Тысячи,Trzy Tysiące,Tre Thousand,Drie Duizend,三千,Trecento,Tři Tisíce
0114,Four Thousand,Viertausend,Quatre Mille,Cuatro Mil,Dört Bin,Четыре Тысячи,Cztery tysiące,Fire Thousand,Vierduizend,四千,Quattro Mila,Čtyři tisíce
0115,Five Thousand,Fünftausend,Cinq Mille,Cinco Mil,Beş Bin,Пять Тысяч,Pięć Tysięcy,Fem Thousand,Vijfduizend,五千,Cinquemila,Pět Tisíc
0116,Six Thousand,Sechstausend,Six Milles,Seis Mil,Altı Bin,Шесть Тысяч,Sześć tysięcy,Seks Thousand,Zesduizend,六千,Six Thousand,Šest tisíc
0117,Seven Thousand,Siebentausend,Sept Mille,Siete Mil,Yedi Bin,Семь Тысяч,Siedem Tysięcy,Syv Thousand,Zevenduizend,セブンサウザンド,Settemila,Sedm tisíc
0118,Eight Thousand,Achttausend,Huit Mille,Ocho Mil,Sekiz Bin,Восемь Тысяч,Osiem Tysięcy,Otte Thousand,Achtduizend,八千,Ottomila,Osm tisíc
0119,Nine Thousand,Neuntausend,Neuf Mille,Nueve Mil,Dokuz Bin,Девять Тысяч,Dziewięć Tysięcy,Nine Thousand,Negenduizend,9000,Novemila,Devět tisíc
,,,,,,,,,,,,
0120,Ten Thousand,Zehntausend,Dix Mille,Diez Mil,On Bin,Десять Тысяч,Dziesięć Tysięcy,Ten Thousand,Tien Duizend,テンサウザンド,Diecimila,Deset Tisíc
0121,Eleven Thousand,Elftausend,Onze Mille,Once Mil,Onbir Bin,Одиннадцать тысяч,Jedenastu Tysięcy,Eleven Thousand,Elfduizend,イレブン千,Undicimila,Jedenáct tisíc
0122,Twelve Thousand,Zwölftausend,Douze Mille,Doce Mil,On İki Bin,Двенадцать тысяч,Dwanaście Tysięcy,Twelve Thousand,Twaalf Duizend,一万二千,Dodicimila,Dvanáct tisíc
0123,Thirteen Thousand,Dreizehntausend,Treize mille,Trece Mil,Onüç Bin,Тринадцать тысяч,Trzynaście tysięcy,Tretten Thousand,Dertienduizend,サーティーン千,Tredicimila,Třináct tisíc
0124,Fourteen Thousand,Vierzehntausend,Quatorze mille,Catorce Mil,Ondört Bin,Четырнадцать тысяч,Czternaście tysięcy,Fjorten Thousand,Veertienduizend,フォーティーン千,Quattordicimila,Čtrnáct tisíc
0125,Fifteen Thousand,Fünfzehntausend,Quinze Mille,Quince Mil,On Beş Bin,Пятнадцать Тысяч,Piętnaście Tysięcy,Femten Thousand,Vijftienduizend,フィフティーン千,Quindicimila,Patnáct tisíc
0126,Sixteen Thousand,Sechzehntausend,Seize mille,Dieciseis Mil,Onaltı Bin,Шестнадцать Тысяч,Szesnaście tysięcy,Seksten Thousand,Zestien Duizend,シックスティーン千,Sedicimila,Šestnáct tisíc
0127,Seventeen Thousand,Siebzehntausend,Dix-sept mille,Diecisiete Mil,Onyedi Bin,Семнадцать тысяч,Siedemnaście tysięcy,Seventeen Thousand,Zeventienduizend,セブンティーン千,Diciassettemila,Sedmnáct tisíc
0128,Eighteen Thousand,Achtzehntausend,Dix-huit mille,Dieciocho Mil,Onsekiz Bin,Восемнадцать тысяч,Osiemnaście tysięcy,Atten Thousand,Achttienduizend,一万八千,Diciottomila,Osmnáct tisíc
0129,Nineteen Thousand,Neunzehntausend,Dix-neuf mille,Diecinueve Mil,Ondokuz Bin,Девятнадцать тысяч,Dziewiętnaście tysięcy,Nineteen Thousand,Negentien Duizend,十九千,Diciannove Mille,Devatenáct tisíc
0130,Twenty Thousand,Zwanzigtausend,Vingt Mille,Veinte Mil,Yirmi Bin,Двадцать Тысяч,Dwadzieścia Tysięcy,Tyve Thousand,Twintig Duizend,20000,Ventimila,Dvacet tisíc
,,,,,,,,,,,,
0131,Smoke On,Rauch an,Smoke On,Smoke On,Açık Duman,Smoke On,Smoke On,Røg On,Smoke On,オン煙,Smoke On,Smoke On
0132,Smoke Off,Rauch aus,Smoke Off,Humo Off,Kapalı Duman,Дым Выкл,Dym Wyłączony,Røg Off,Rook Uit,オフスモーク,Smoke Off,Kouř Off
0133,Crow On,Crow an,Crow,Crow On,Crow Açık,Ворона на,Crow On,Crow On,Kraai op,クロウオン,Crow On,Crow On
0134,Crow Off,Crow aus,Corbeau Off,Crow Off,Crow Kapalı,Ворона Выкл,Crow Wyłączony,Crow Off,Kraai Off,クロウオフ,Crow Off,Crow Off
0135,Engine Off,Motor aus,Arrêt de moteur,Apagado del motor,Motor Kapalı,Двигатель Выкл,Wyłącz silnik,Engine Off,Engine Off,エンジンオフ,Motore Off,Off Engine
0136,Flaps 1st Position,Klappen erste Position,Rabats 1ère position,Flaps primera posición,Flepler 1. Pozisyonu,Клапаны 1 Позиция,Klapy 1 miejsce,Flaps 1st Position,Kleppen 1 Positie,フラップ1位,Flap 1 ° classificato,Klapky 1. Pozice
0137,Flaps 2nd Position,Klappen zweite Position,Rabats 2ème position,Flaps segunda posición,Flepler 2. Pozisyonu,Клапаны 2-е место,Klapy 2. pozycji,Flaps 2. Position,Kleppen 2e Positie,フラップ2位,Flaps 2 ° posizione,Klapky 2.místo
0138,Flaps 3rd Position,Klappen dritte Position,Rabats 3ème position,Flaps tercera posición,Flepler 3. Pozisyonu,Клапаны 3-й позиции,Klapy 3. miejsce,Flaps 3. Position,Flappen 3 Positie,フラップ3位,Flaps 3a posizione,Klapky 3. místo
0139,,,,,,,,,,,,
0140,Flaps Down,Klappen runter,Rabats Bas,Flaps abajo,Aşağı Flepler,Закрылками,Klapy w dół,Flaps Down,Kleppen omlaag,ダウンフラップ,Flaps Giù,Klapky Down
0141,,,,,,,,,,,,
0142,Full Flaps,Vollständige Klappen,Pleins volets,Flaps completa,Tam Kapaklı,Полный закрылки,Pełne klapy,Fuld Flaps,Volledige Flaps,フルフラップ,Flaps completi,Plné klapky
0143,,,,,,,,,,,,
0144,Flaps Up,Klappen hoch,Volets rentrés,Flaps arriba,Up kanatlar,Закрылки,Klapy w górę,Vender opad,Flappen Up,アップフラップ,FLAPS Up,Klapky Up
0145,Flaps 1,Klappen 1,Volets 1,Flaps 1,Flepler 1,Клапаны 1,Klapy 1,Flaps 1,Kleppen 1,フラップ1,Flap 1,Klapky 1
0146,Flaps 2,Klappen 2,2 volets,Flaps 2,Flepler 2,Клапаны 2,Listki 2,Flaps 2,Kleppen 2,フラップ2,Flaps 2,Klapky 2
0147,Flaps 1,Klappen 1,Volets 1,Flaps 1,Flepler 1,Клапаны 1,Klapy 1,Flaps 1,Kleppen 1,フラップ1,Flap 1,Klapky 1
0148,Throttle Enabled / Throttle-Cut Inactive,Gas Aktiviert / Gassperre Inaktiv,Throttle Activé / Throttle-Cut Inactif,Throttle Habilitado / Throttle-Cut Inactivo,Throttle / Gaz-Cut İnaktif Etkin,Дроссельной Включено / дроссельной Вырезать Неактивные,Przepustnicy Enabled / Cut Nieaktywne przepustnicy,Throttle Aktiveret / Throttle-Cut Inaktiv,Throttle Ingeschakeld / Throttle-Cut Inactieve,スロットル有効/スロットルカット非アクティブ,Throttle Abilitato / Throttle-Cut Inattivo,Throttle Povoleno / Throttle-Cut Neaktivní
0149,Throttle Disabled /Throttle-Cut Active,Gas Deaktiviert / Gassperre Aktiv,Throttle handicapés / Throttle-Cut active,Activo Throttle minusválidos / Cortar Throttle-,Kelebek Engelli / Gaz-Cut Aktif,Дроссельной заслонки Отключено / дроссельной заслонки-Cut Активный,Przepustnicy niepełnosprawnych / Aktywny przepustnicy-Cut,Throttle Handikappede / Throttle-Cut Active,Throttle handicap /-Throttle Cut Actief,スロットル無効/スロットル·カットアクティブ,Throttle disabili / Throttle-Cut attivo,Throttle Zakázáno / Throttle-Cut Aktivní
0150,Landing Gear Up,Fahrwerk hoch,Landing Gear Up,Landing Gear Up,İniş Takımları Up,Шасси До,W górę podwozia,Landing Gear Up,Landing Gear Up,ランディングギアアップ,Landing Gear Up,Landing Gear Up
0151,Landing Gear Down,Fahrwerk runter,Landing Gear Bas,Tren de aterrizaje abajo,İniş Takımları Aşağı,Шасси вниз,Podwozia dół,Landing Gear Down,Landing Gear down,ランディングギアダウン,Atterraggio Giù,Podvozek Down
0152,Lights On,Lichter an,Lights On,Luces Encendidas,On Işıklar,Огни на,Światła na,Lights On,Lights On,点灯,Lights On,Lights On
0153,Lights Off,Lichter aus,Lights Off,Luces Apagadas,Kapalı Işıklar,Выключить Свет,Lights Off,Lyser Off,Licht Uit,消灯,Luci spente,Lights Off
0154,Beacon On,Signalfeuer an,Sur Beacon,En Beacon,Beacon Açık,Маяк на,Beacon Na,Beacon On,Baken op,ビーコンについて,Beacon On,Beacon On
0155,Beacon Off,Signalfeuer aus,Beacon Off,Beacon Off,Beacon Kapalı,Маяк Выкл,Beacon Off,Beacon Off,Beacon Off,ビーコンオフ,Beacon Off,Beacon Off
0156,Strobe On,Stroboskop an,Sur Strobe,Strobe En,Strobe Açık,Строб С,Na stroboskopu,Strobe On,Strobe On,ストロボについて,Strobe On,Strobe Na
0157,Strobe Off,Stroboskop aus,Strobe Off,Strobe Off,Kapalı strobe,Strobe Off,Strobe Wyłączony,Strobe Off,Strobe Off,オフストロボ,Strobe Off,STROBE Off
0158,Throttle Hold Inactive,Gas Halten Inaktiv,Maintenez Throttle Inactif,Hold Throttle Inactivo,Kelebek Tut İnaktif,Удержания газа Неактивные,Nieaktywne zatrzymaniem przepustnicy,Throttle Hold Inaktiv,Throttle Hold Inactieve,非アクティブスロットルホールド,Tenere Throttle Inattivo,Throttle držte Neaktivní
0159,Throttle Hold Active,Gas Halten Aktiv,Throttle HOLD actif,Throttle Hold Activo,Kelebek Aktif Tut,Держите дроссельной Активный,Aktywny trzymać przepustnicy,Throttle Hold Aktiv,Throttle Hold Actief,スロットルは、Activeホールド,Throttle Tenere attiva,Throttle Držte Aktivní
0160,Throttle-Cut Active,Gassperre Aktiv,Throttle-Cut active,Throttle-Cut Activo,Kelebek-Cut Aktif,Дроссельной-Cut Активный,Aktywny przepustnicy-Cut,Throttle-Cut Active,-Throttle Cut Actief,スロットルカットアクティブ,Throttle-Cut attivo,Throttle-Cut Aktivní
0161,Throttle-Cut Inactive,Gassperre Inaktiv,Throttle-Cut Inactif,Throttle-Cut Inactivo,Kelebek-Cut İnaktif,Дроссельной-Cut Неактивные,Nieaktywne przepustnicy-Cut,Throttle-Cut Inaktiv,-Throttle Cut Inactieve,スロットルカット非アクティブ,Throttle-Cut Inattivo,Throttle-Cut Neaktivní
0162,Aileron Rate Low,Querruderrate niedrig,Aileron Faible taux,Aileron Baja Tasa,Aileron Oranı Düşük,Элерон низкой скорости,Lotka Cena Niska,Aileron Rate Low,Aileron Rate Low,エルロンレート低,Aileron Tasso Basso,Křidélek Nízká míra
0163,,,,,,,,,,,,
0164,Aileron Rate High,Querruderrate hoch,Aileron Taux haut,Aileron Tasa alta,Aileron Oranı Yüksek,Элерон высокая скорость,Lotka Cena Wysoka,Aileron Rate High,Aileron Rate High,エルロンレート高,Aileron Tasso alta,Křidélek vysoká míra
0165,Elevator Rate Low,Höhenruderrate niedrig,Faible taux ascenseur,Ascensor Baja Tasa,Asansör Hızı Düşük,Лифт с низкой скоростью,Winda Cena Niska,Elevator Rate Low,Lift Rate Low,エレベーターレート低,Ascensore Tasso Basso,Výtah sazba nízká
0166,,,,,,,,,,,,
0167,Elevator Rate High,Höhenruderrate hoch,Ascenseur Taux haut,Ascensor Tasa alta,Asansör Hızı Yüksek,Лифт с высокой скоростью,Winda Cena Wysoka,Elevator Rate High,Lift Rate High,エレベーターレート高,Ascensore Tasso alta,Výtah vysoká míra
0168,Gear Up,Fahrwerk hoch,Gear Up,Gear Up,Gear Up,Ускорять,Przygotuj się,Gear Up,Gear Up,ギアアップ,Gear Up,Řadit
0169,Gear Down,Fahrwerk runter,Équipement de Down,Desmultiplicar,Dişli Aşağı,Замедлять,Bieg w dół,Gear ned,Versnelling omlaag,ギアダウン,Marcia inferiore,Zařadit
0170,Vario On,Vario an,Sur Vario,En Vario,Vario Açık,Vario На,Na Vario,Vario On,Vario On,バリオについて,Vario On,Vario On
0171,Vario Off,Vario aus,Vario Off,Vario Off,Vario Kapalı,Vario Выкл,Vario Wyłączony,Vario Off,Vario Off,バリオオフ,Vario Off,Vario Off
0172,Thermal Mode,Thermal-Modus,Mode thermique,Modo térmica,Termal Mod,Тепловой режим,Tryb termiczny,Termisk tilstand,Thermische Mode,熱モード,Modalità termica,Thermal Oblečení
0173,Normal Mode,Normal-Modus,Mode Normal,Modo Normal,Normal Mod,Нормальный режим,Tryb Normal,Normal tilstand,Normal Mode,通常モード,Modalità Normale,Normální režim
0174,Landing Mode,Lande-Modus,Mode Landing,Modo Landing,Açılış Modu,Режим Посадка,Tryb Landing,Landing tilstand,Landing Mode,着陸モード,Modalità Landing,Režim Přistání
0175,Acro Mode,Acro Modus,Mode Acro,Modo de Acro,Acro Modu,Режим Acro,Tryb Acro,Acro-tilstand,Acro Mode,アクロモード,Modalità Acro,Režim Acro
